Class,Protocol,SrcIP,DestIP,Priority
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potentially Bad Traffic,UDP,172.17.234.195,172.20.160.23,2
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,91.189.95.85,3
Not Suspicious Traffic,TCP,172.17.234.195,91.189.95.85,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.106,3
Not Suspicious Traffic,TCP,172.17.234.195,43.255.166.254,3
Attempted Information Leak,TCP,172.17.234.195,13.35.133.84,2
Potentially Bad Traffic,TCP,13.35.133.84,172.17.234.195,2
Not Suspicious Traffic,TCP,172.17.234.195,43.255.166.254,3
Not Suspicious Traffic,TCP,172.17.234.195,43.255.166.254,3
Not Suspicious Traffic,TCP,172.17.234.195,43.255.166.254,3
Potentially Bad Traffic,UDP,172.17.234.195,172.31.1.130,2
Potentially Bad Traffic,UDP,172.17.234.195,172.31.1.130,2
Potentially Bad Traffic,UDP,172.17.234.195,172.31.1.130,2
Potentially Bad Traffic,UDP,172.17.234.195,172.31.1.130,2
Generic Protocol Command Decode,TCP,216.58.196.99,172.17.234.195,3
Potentially Bad Traffic,TCP,13.35.133.55,172.17.234.195,2
Generic Protocol Command Decode,TCP,104.19.155.83,172.17.234.195,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.110,3
Not Suspicious Traffic,TCP,172.17.234.195,91.189.95.85,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,91.189.95.85,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Not Suspicious Traffic,TCP,172.17.234.195,192.99.200.113,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Not Suspicious Traffic,TCP,172.17.234.195,221.161.139.107,3
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
Potential Corporate Privacy Violation,TCP,172.17.234.195,192.99.200.113,1
